,Material_,year_,PKT real_sum,StandardDeviation_mean
0,2109092,2022,6846,14.761206812819196
1,2109092,2023,9108,14.761206812819195
2,2109092,2024,1696,14.761206812819196
3,2109784,2022,10484,14.36209939477807
4,2109784,2023,9539,14.36209939477807
5,2109784,2024,1357,14.36209939477807
6,2143050,2022,51638,36.312491812332354
7,2143050,2023,49250,36.312491812332354
8,2143050,2024,5034,36.312491812332354
9,2171451,2022,23239,337.1991286578967
10,2171451,2023,6864,337.1991286578967
11,2171451,2024,576,337.1991286578967
12,2171452,2022,23478,364.49089410257085
13,2171452,2023,10464,364.49089410257085
14,2171452,2024,672,364.49089410257085
15,2172619,2022,975,44.017042154147525
16,2176017,2022,180698,104.91252237842879
17,2176017,2023,65600,104.91252237842879
18,2184527,2022,16080,10.975178606954215
19,2185709,2024,1470,0.0
20,2186473,2022,126102,61.51716211795322
21,2186473,2023,127649,61.51716211795321
22,2186473,2024,14633,61.51716211795322
23,2186474,2022,162900,55.96820579196756
24,2186474,2023,141052,55.96820579196756
25,2186474,2024,16011,55.96820579196756
26,2186475,2022,104679,55.26219208316014
27,2186475,2023,90684,55.262192083160144
28,2186475,2024,10315,55.26219208316014
29,2186793,2022,2090,9.080468817403844
30,2186793,2023,2075,9.080468817403844
31,2186793,2024,190,9.080468817403844
32,2186815,2022,243,10.243307516067114
33,2186815,2023,342,10.243307516067114
34,2186815,2024,27,10.243307516067114
35,2186816,2022,247,12.8628361100253
36,2186816,2023,347,12.8628361100253
37,2186816,2024,38,12.8628361100253
38,2186878,2022,97075,158.0775563703462
39,2188266,2022,32404,59.836029883736266
40,2188267,2022,3920,9.372037698871702
41,2188268,2022,12189,20.72030373478027
42,2188269,2022,8525,11.227181606604043
43,2188270,2022,33423,61.99087449054619
44,2188271,2022,11329,31.260992434086855
45,2188272,2022,789,5.388781656546819
46,2188273,2022,5904,9.399583514676918
47,2188274,2022,10685,21.911443670449277
48,2188275,2022,4267,9.549203682501469
49,2188277,2022,3933,7.079031067463645
50,2188278,2022,1980,7.842449203151368
51,2188312,2022,24826,99.86628207093145
52,2188313,2022,23340,98.16675836911601
53,2188316,2022,328105,36.199479262146504
54,2188317,2022,8170,64.32808175363307
55,2188348,2022,25633,31.604344331834533
56,2188624,2022,10616,76.42076029770266
57,2188625,2022,712,29.518529599957883
58,2189036,2022,87399,36.7023013456848
59,2189036,2023,77602,36.7023013456848
60,2189036,2024,9119,36.7023013456848
61,2189063,2022,126,3.8775565456472254
62,2189063,2023,913,3.8775565456472254
63,2189063,2024,159,3.8775565456472254
64,2189455,2022,203370,104.25629265199123
65,2189456,2022,92467,70.54715723370202
66,2189457,2022,93444,70.64621131132141
67,2189672,2022,159750,0.0
68,2189674,2022,311250,0.0
69,2189676,2022,55050,4.20084025208402
70,2189677,2022,47252,154.51917005033218
71,2189678,2022,33027,205.32800809702243
72,2189693,2022,87375,0.22577649472849604
73,2189693,2023,81050,0.22577649472849604
74,2189693,2024,9240,0.22577649472849604
75,2189695,2022,37470,394.91214064845894
76,2189696,2022,72900,111.01160562662407
77,2190006,2022,31360,0.0
78,2190361,2022,35983,44.292451786690165
79,2190362,2022,19795,52.97293623400629
80,2190363,2022,37201,186.0840259994194
81,2190364,2022,156670,189.2211219704961
82,2190365,2022,153254,265.4669516518674
83,2190366,2022,22010,90.50427838302735
84,2190367,2022,30544,106.92635722422087
85,2190369,2022,3975,11.344034566621039
86,2190372,2022,86558,157.19051202850184
87,2190373,2022,51110,91.07637385677691
88,2190374,2022,2,
89,2190375,2022,4173,13.640975297543545
90,2190376,2022,14388,21.217045893982917
91,2190380,2022,19416,53.94935113818185
92,2190381,2022,25137,56.985990820256035
93,2190382,2022,23106,48.92523536412741
94,2190383,2022,22646,24.2886182758701
95,2190384,2022,140016,244.3331162648753
96,2190385,2022,193934,291.9631612911073
97,2190386,2022,470385,389.75749210761853
98,2190387,2022,111467,190.43836821131353
99,2190389,2022,66183,121.78427031717875
100,2190390,2022,246494,328.2994253484345
101,2190391,2022,61696,330.60558507826414
102,2190392,2022,29161,52.88839014338708
103,2190393,2022,31478,56.71400796720379
104,2190394,2022,43134,93.68901382263664
105,2190395,2022,129458,196.14523904149007
106,2190396,2022,1287,12.74552757960386
107,2190397,2022,6486,16.28717079053841
108,2190398,2022,5688,38.06489179013374
109,2190399,2022,29167,134.32105805218686
110,2190400,2022,4107,12.00839249150473
111,2190402,2022,10720,45.01989694178542
112,2190403,2022,6825,44.17874307977951
113,2190405,2022,3612,13.48236734587112
114,2190406,2022,138695,190.0373442321686
115,2190407,2022,45322,80.3268244123601
116,2190408,2022,38351,65.06226983280366
117,2190409,2022,164617,282.8332888565112
118,2190410,2022,10927,20.780858366348482
119,2190460,2022,38552,76.22934970748469
120,2190461,2022,52936,127.37104937197773
121,2190462,2022,5750,37.64119318869613
122,2190463,2022,94116,189.98300270492325
123,2190464,2022,30259,137.1190558443261
124,2190466,2022,49269,79.35993414019204
125,2190467,2022,2167,11.861798937066071
126,2190468,2022,5433,10.988416172824481
127,2190469,2022,28153,33.232073323414745
128,2190470,2022,20856,92.26842183176002
129,2190471,2022,47839,123.63851920492525
130,2190472,2022,1644,42.498176091661946
131,2190473,2022,56491,146.33302547211227
132,2190474,2022,45853,101.22811868128825
133,2190476,2022,48726,45.26848568707688
134,2190477,2022,2230,10.896973687462612
135,2190478,2022,4728,13.57206726976633
136,2190480,2022,11092,114.98845450501749
137,2190482,2022,5665,75.98080873955666
138,2190484,2022,991,13.457546972985037
139,2190634,2022,6295,16.511635664489084
140,2190697,2022,102300,150.27775094441907
141,2190698,2022,165240,254.35662958271723
142,2190699,2022,127850,125.75994937396611
143,2190700,2022,31125,119.84280565675618
144,2190701,2022,38249,159.77016020802913
145,2190702,2022,84240,181.2364570520351
146,2190703,2022,107400,35.55711697207468
147,2190704,2022,26124,110.05003771904846
148,2190705,2022,33300,0.0
149,2190706,2022,49500,0.0
150,2190707,2022,27000,0.0
151,2190708,2022,36780,18.74085142663271
152,2190709,2022,26100,0.0
153,2190710,2022,71250,0.0
154,2190711,2022,23700,53.03300858899106
155,2190712,2022,41400,0.0
156,2190713,2022,28800,0.0
157,2190792,2022,983,6.0913867171904945
158,2190797,2022,4379,29.800935630990384
159,2190800,2022,439,6.43447999379845
160,2190806,2022,21134,79.43257590563401
161,2190807,2022,44745,237.97254805634392
162,2190808,2022,6064,30.78258914366401
163,2190809,2022,2410,17.935529715721206
164,2191117,2022,638186,78.25821448471173
165,2191117,2023,594823,78.25821448471173
166,2191117,2024,70194,78.25821448471173
167,2191118,2022,415323,72.78914880243934
168,2191118,2023,314390,72.78914880243934
169,2191119,2022,263465,55.90604523233294
